data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,-0.499963373,-1.13E-06,2.541649841,1.025523495,0.023182942
2,0.08762548,-0.464615375,-5.02E-07,,,
3,0.17524218,-0.42925632,-1.32E-07,,,
4,0.2628333,-0.393906265,1.40101917622815E-07,,,
5,0.35043484,-0.358563036,2.67383768459695E-07,,,
6,0.43802138,-0.323215395,4.12021961437858E-07,,,
7,0.52561472,-0.287862301,4.64091812091283E-07,,,
8,0.61320736,-0.252527505,4.87233933199605E-07,,,
9,0.70081386,-0.217148885,5.33518232259667E-07,,,
10,0.7884043,-0.181802154,5.62445904961351E-07,,,
11,0.87600378,-0.146452203,5.50874858618045E-07,,,
12,0.96358664,-0.11109712,5.85588054491382E-07,,,
13,1.0511755,-0.075748995,5.74017008148076E-07,,,
14,1.13877492,-0.040391769,5.79802531319729E-07,,,
15,1.22636252,-0.005049294,5.855881113348E-07,,,
16,1.31394764,0.030308541,5.855881113348E-07,,,
17,1.40154742,0.065652408,5.91373634506454E-07,,,
18,1.48912636,0.101006299,6.08730147177994E-07,,,
19,1.57671818,0.136358589,6.37657819879678E-07,,,
20,1.66430802,0.17171073,6.31872353551444E-07,,,
21,1.75190002,0.207066819,6.60799969409709E-07,,,
22,1.83948726,0.242399111,6.78156538924668E-07,,,
23,1.92707138,0.277760595,6.95513165283046E-07,,,
24,2.01465936,0.313116521,7.64939215969207E-07,,,
25,2.10227898,0.348468572,8.51721040362463E-07,,,
26,2.18987804,0.38381508,9.67430082710052E-07,,,
27,2.27748616,0.41915971,1.12942325358745E-06,,,
28,2.36507724,0.45450896,1.34927040562616E-06,,,
29,2.45266448,0.489863157,1.65589949574496E-06,,,
30,2.54025938,0.525206566,2.10137977774139E-06,,,
31,2.62786056,0.560555816,2.66256779468677E-06,,,
32,2.71544838,0.595907509,3.46674619322584E-06,,,
33,2.80305144,0.631254554,4.49077424491406E-06,,,
34,2.89063854,0.666605532,5.86192572882283E-06,,,
35,2.9782528,0.701952398,7.62648733143578E-06,,,
36,3.06586818,0.737307012,9.95802929537604E-06,,,
37,3.15348026,0.772719502,1.29028248920804E-05,,,
38,3.24108776,0.808065355,1.6646017684252E-05,,,
39,3.32870086,0.843415856,2.1384305000538E-05,,,
40,3.41630464,0.878765047,2.72738852800103E-05,,,
41,3.50391304,0.914109886,3.46387714671437E-05,,,
42,3.59152774,0.949456453,4.37161470472347E-05,,,
43,3.67914362,0.984800994,5.48936550330836E-05,,,
44,3.7667621,1.020158291,6.85415507177822E-05,,,
45,3.85439562,1.055508971,8.5128442151472E-05,,,
46,3.9420052,1.090857029,0.000105192,,,
47,4.02961986,1.126200438,0.00012926,,,
48,4.11722672,1.161555171,0.000158123,,,
49,4.20484934,1.196901679,0.000192466,,,
50,4.29245892,1.232254028,0.000233132,,,
51,4.38008248,1.267668843,0.000281244,,,
52,4.46770534,1.303021908,0.000337715,,,
53,4.55533008,1.338362217,0.000403837,,,
54,4.64294098,1.373708725,0.000480963,,,
55,4.73054146,1.409066081,0.000570603,,,
56,4.81814686,1.444416642,0.000674417,,,
57,4.90574214,1.479760528,0.000794268,,,
58,4.9933679,1.515105963,0.000932147,,,
59,5.08098212,1.55045855,0.001090349,,,
60,5.16859586,1.585815668,0.001271341,,,
61,5.2562167,1.621152759,0.001477482,,,
62,5.34382544,1.656499386,0.001712059,,,
63,5.43144026,1.69184947,0.001978085,,,
64,5.51905672,1.727201939,0.002278999,,,
65,5.60666518,1.762587547,0.002618933,,,
66,5.69425966,1.797934532,0.003001073,,,
67,5.78186488,1.8332932,0.003430365,,,
68,5.86948446,1.868634582,0.003911047,,,
69,5.95709388,1.903982043,0.004448591,,,
70,6.0447144,1.939328551,0.005048312,,,
71,6.13234168,1.974685311,0.005715995,,,
72,6.21995098,2.010026693,0.006457716,,,
73,6.30756784,2.045376778,0.007280424,,,
74,6.39519258,2.080728054,0.00819113,,,
75,6.48278578,2.115797758,0.009187728,,,
76,6.57039838,2.15136838,0.010304153,,,
77,6.6579994,2.186903954,0.011532738,,,
78,6.74561458,2.221794605,0.012859247,,,
79,6.83323348,2.25731039,0.014340211,,,
80,6.92084298,2.292862177,0.015966179,,,
81,7.008472,2.328442812,0.017749067,,,
82,7.0960822,2.363291264,0.019657092,,,
83,7.18370776,2.398827791,0.021780148,,,
84,7.27132954,2.434342623,0.024095524,,,
85,7.35893524,2.469258308,0.026573857,,,
86,7.44654026,2.504782677,0.029316356,,,
87,7.53415044,2.540291309,0.032297663,,,
88,7.62175736,2.575647593,0.035521619,,,
89,7.7093665,2.61050272,0.038968667,,,
90,7.79699286,2.64609313,0.042782996,,,
91,7.88461184,2.681599379,0.046906617,,,
92,7.97222772,2.716467857,0.051292811,,,
93,8.0598415,2.751980066,0.056123424,,,
94,8.1474426,2.787484884,0.061350405,,,
95,8.23506028,2.822411299,0.066911131,,,
96,8.32268478,2.857895374,0.073014408,,,
97,8.41029424,2.893440485,0.079626672,,,
98,8.4979174,2.928958178,0.086778633,,,
99,8.5855311,2.963762999,0.101923257,,,
100,8.6731353,2.999367237,0.102502838,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
