data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,-0.499963164,-7.39E-07,2.54177358,1.025530853,0.020261435
2,0.08761302,-0.464615464,-2.76E-07,,,
3,0.17521356,-0.429255426,1.86046804628859E-08,,,
4,0.26280438,-0.39390558,2.21098844122025E-07,,,
5,0.35039828,-0.358561993,3.54166246552268E-07,,,
6,0.43797844,-0.323214501,4.46734844672392E-07,,,
7,0.52556076,-0.287861168,4.81448182654276E-07,,,
8,0.6131441,-0.252526969,4.87233819512767E-07,,,
9,0.70074312,-0.217148408,5.21946958542685E-07,,,
10,0.78832292,-0.181801468,5.27732424870919E-07,,,
11,0.87593324,-0.146451443,5.50874631244369E-07,,,
12,0.9635266,-0.111097261,5.62445734431094E-07,,,
13,1.0511054,-0.075747408,5.68231200759328E-07,,,
14,1.13871652,-0.040391009,5.74016894461238E-07,,,
15,1.22631714,-0.005049253,5.74016837617819E-07,,,
16,1.31391622,0.030309375,5.79802360789472E-07,,,
17,1.4015272,0.065653279,5.79802360789472E-07,,,
18,1.489145,0.10100738,5.91373520819616E-07,,,
19,1.57674986,0.1363599,5.85587883961125E-07,,,
20,1.66435198,0.171712175,6.43443286207912E-07,,,
21,1.75195902,0.207068384,6.08730033491156E-07,,,
22,1.83956078,0.242399409,6.49228809379565E-07,,,
23,1.92716028,0.277762115,6.95513051596208E-07,,,
24,2.01479092,0.313116997,7.18655201126239E-07,,,
25,2.10241622,0.348469228,8.05437480266846E-07,,,
26,2.19002884,0.383816719,9.09575874175061E-07,,,
27,2.27764936,0.419160962,1.0310707239114E-06,,,
28,2.3652536,0.454509377,1.26248914966709E-06,,,
29,2.4528657,0.489864886,1.51704966810939E-06,,,
30,2.54047628,0.525207222,1.89310480891436E-06,,,
31,2.6280884,0.560556412,2.4195817331929E-06,,,
32,2.71569398,0.595908463,3.11383701045997E-06,,,
33,2.80331752,0.631254494,4.05108266932075E-06,,,
34,2.89092728,0.666606009,5.25445830135141E-06,,,
35,2.97854726,0.701953709,6.83967618897441E-06,,,
36,3.06616922,0.73730737,8.84722976479679E-06,,,
37,3.15379902,0.772720695,1.1433332474553E-05,,,
38,3.24140528,0.808066428,1.47368318721419E-05,,,
39,3.3290295,0.843415856,1.8856075257645E-05,,,
40,3.41664602,0.878765941,2.40282715822104E-05,,,
41,3.50426544,0.914111435,3.0473278457066E-05,,,
42,3.59189278,0.949456871,3.84224840672687E-05,,,
43,3.67951062,0.984801531,4.81246970593929E-05,,,
44,3.76712934,1.020159125,6.00485363975167E-05,,,
45,3.85474782,1.05550909,7.44485441828147E-05,,,
46,3.94235016,1.090857267,9.18974910746329E-05,,,
47,4.02996056,1.126201749,0.000112812,,,
48,4.11757754,1.161556363,0.000137794,,,
49,4.20518206,1.196901441,0.00016756,,,
50,4.29279982,1.232254267,0.000202863,,,
51,4.38040982,1.267669559,0.000244506,,,
52,4.4680246,1.303022981,0.000293393,,,
53,4.55564106,1.338362455,0.000350571,,,
54,4.64324384,1.373711348,0.000417208,,,
55,4.73084758,1.409067273,0.00049471,,,
56,4.81846322,1.444418192,0.00058435,,,
57,4.90607436,1.479760766,0.000687759,,,
58,4.99368708,1.515108228,0.00080676,,,
59,5.08130232,1.550460935,0.000943152,,,
60,5.16891916,1.585816264,0.001099139,,,
61,5.256524,1.621154428,0.001276903,,,
62,5.34414978,1.65650034,0.001478948,,,
63,5.43176786,1.691850662,0.001708098,,,
64,5.5193697,1.727202535,0.001967252,,,
65,5.606981,1.762588978,0.002259833,,,
66,5.69457942,1.797935247,0.002588753,,,
67,5.78220946,1.833294868,0.002958218,,,
68,5.86983338,1.868635774,0.003371818,,,
69,5.95743326,1.903983474,0.003834198,,,
70,6.04503608,1.939330935,0.004350057,,,
71,6.13264598,1.974688172,0.004924361,,,
72,6.22025534,2.010028839,0.005562097,,,
73,6.30786772,2.045377254,0.006269528,,,
74,6.3954823,2.080728769,0.007052568,,,
75,6.48309128,2.115803003,0.00790942,,,
76,6.57071278,2.151381254,0.008869355,,,
77,6.65833824,2.186913967,0.009925635,,,
78,6.74596982,2.221811056,0.011065991,,,
79,6.83358838,2.257309675,0.012338904,,,
80,6.92119132,2.292860746,0.013736797,,,
81,7.0088259,2.328444004,0.015269374,,,
82,7.09642904,2.363297701,0.016909858,,,
83,7.18405118,2.398828506,0.018734811,,,
84,7.2716707,2.43435216,0.02072572,,,
85,7.35928302,2.469267845,0.022856383,,,
86,7.4468851,2.504800797,0.025214214,,,
87,7.53449058,2.540302038,0.027777357,,,
88,7.62211674,2.575666904,0.030549468,,,
89,7.7097269,2.610521793,0.033513166,,,
90,7.79732322,2.646117926,0.03679321,,,
91,7.88495106,2.681623697,0.040338993,,,
92,7.9725742,2.716496229,0.044110056,,,
93,8.06019432,2.752002954,0.048263263,,,
94,8.14779664,2.787521362,0.052757002,,,
95,8.23540396,2.822447062,0.057539143,,,
96,8.32301658,2.857939243,0.062788531,,,
97,8.41064308,2.893485069,0.068471879,,,
98,8.49825406,2.92900753,0.074615993,,,
99,8.58586642,2.963824987,0.081129476,,,
100,8.67346804,2.999376774,0.101510294,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
