data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,-0.000144121,3.68307810276747E-05,2.541131787,1.172130355,0.048847972
2,0.08759598,0.040389013,3.74073279090226E-05,,,
3,0.1751861,0.080880761,3.39480575348716E-05,,,
4,0.2627792,0.120805293,3.79838711523917E-05,,,
5,0.35037618,0.161302865,3.68307810276747E-05,,,
6,0.43798394,0.201863542,3.74073279090226E-05,,,
7,0.5255673,0.242363378,3.45246044162195E-05,,,
8,0.61316932,0.282946974,3.56776945409365E-05,,,
9,0.7007594,0.322792202,3.68307810276747E-05,,,
10,0.7883532,0.363311619,3.91369612771086E-05,,,
11,0.87594852,0.403832197,3.79838747903705E-05,,,
12,0.96354532,0.44440189,3.74073279090226E-05,,,
13,1.05112438,0.484902948,3.62542377843056E-05,,,
14,1.138722,0.5255059,3.97135008824989E-05,,,
15,1.2263084,0.565345526,3.97135045204777E-05,,,
16,1.31389252,0.6059407,4.02900477638468E-05,,,
17,1.40148214,0.646441579,4.02900477638468E-05,,,
18,1.48908028,0.686971188,4.6632037992822E-05,,,
19,1.57667504,0.727474391,4.89382146042772E-05,,,
20,1.66427506,0.767385244,5.64332949579693E-05,,,
21,1.75185296,0.807914913,6.21987419435754E-05,,,
22,1.839436,0.848420262,7.14234483893961E-05,,,
23,1.92702658,0.888956964,7.89185360190459E-05,,,
24,2.01461108,0.929462314,9.1602501925081E-05,,,
25,2.10219552,0.969379723,0.000110052,,,
26,2.18978244,1.009895682,0.000131961,,,
27,2.27737064,1.050404906,0.000159058,,,
28,2.36495594,1.090909362,0.000191921,,,
29,2.45253564,1.131488442,0.000233432,,,
30,2.54014956,1.17131722,0.000283592,,,
31,2.627744,1.211917281,0.000348165,,,
32,2.71535068,1.252419353,0.000424845,,,
33,2.8029445,1.293011069,0.000517092,,,
34,2.89052676,1.33351779,0.000630672,,,
35,2.978127,1.373369336,0.000758088,,,
36,3.06572154,1.413893342,0.00091952,,,
37,3.153308,1.454465032,0.001104591,,,
38,3.24091248,1.494970322,0.001326561,,,
39,3.3285015,1.535511255,0.001584276,,,
40,3.41608144,1.576018095,0.001885233,,,
41,3.50367586,1.615893126,0.002232889,,,
42,3.59127134,1.656465769,0.002639351,,,
43,3.67886762,1.69697082,0.003113848,,,
44,3.76645878,1.73748529,0.003656951,,,
45,3.85405544,1.777987719,0.004277313,,,
46,3.94165452,1.817912817,0.004983005,,,
47,4.02924336,1.858412981,0.005795933,,,
48,4.1168346,1.898998499,0.006723596,,,
49,4.20441888,1.939505458,0.007768868,,,
50,4.2919994,1.980100989,0.008958857,,,
51,4.37959068,2.019962072,0.010271647,,,
52,4.46719022,2.060473442,0.011777576,,,
53,4.5547792,2.100969791,0.013461661,,,
54,4.64236984,2.141551733,0.015353299,,,
55,4.72995766,2.182050228,0.017466906,,,
56,4.81756004,2.221929312,0.019778844,,,
57,4.90513794,2.26243782,0.022392336,,,
58,4.99272278,2.303017139,0.025296967,,,
59,5.08030906,2.343518496,0.028507736,,,
60,5.16789712,2.384034872,0.032063868,,,
61,5.25548788,2.42390275,0.03592556,,,
62,5.34306556,2.464406729,0.040243886,,,
63,5.43064892,2.504972458,0.045010187,,,
64,5.5182283,2.54546833,0.050242297,,,
65,5.60582904,2.585801601,0.055964496,,,
66,5.69342008,2.626324892,0.062268443,,,
67,5.7810136,2.666235447,0.069071047,,,
68,5.86860828,2.706730127,0.076625556,,,
69,5.95621076,2.747259855,0.084897824,,,
70,6.0437814,2.78777194,0.101931237,,,
71,6.13138438,2.828356266,0.102574065,,,
72,6.2189797,2.868198872,0.103139065,,,
73,6.30655998,2.908739328,0.103701219,,,
74,6.39415982,2.949249744,0.104245439,,,
75,6.48175874,2.989829779,0.104781665,,,
76,6.5693484,3.030337811,0.105308592,,,
77,6.65693588,3.070194244,0.105828047,,,
78,6.74451708,3.11068368,0.106343478,,,
79,6.83211766,3.151268244,0.106857665,,,
80,6.9197023,3.191766262,0.107369699,,,
81,7.00729758,3.23238802,0.10787826,,,
82,7.09489414,3.272243977,0.10837695,,,
83,7.18246366,3.312735319,0.108879067,,,
84,7.27004664,3.353322029,0.109381296,,,
85,7.35762508,3.393824816,0.109881766,,,
86,7.4452093,3.434358358,0.110364847,,,
87,7.53279642,3.474194765,0.110797256,,,
88,7.6204011,3.514746428,0.111271806,,,
89,7.70798138,3.555259466,0.111760691,,,
90,7.79555508,3.595808506,0.112251915,,,
91,7.88315504,3.636334658,0.112744883,,,
92,7.97073868,3.676910877,0.113239519,,,
93,8.0583289,3.716742992,0.1137226,,,
94,8.14593572,3.757272959,0.114215061,,,
95,8.23352604,3.797764063,0.114709727,,,
96,8.32110816,3.838358164,0.115201436,,,
97,8.40870338,3.878840208,0.115693256,,,
98,8.4963094,3.918691158,0.116175316,,,
99,8.58390498,3.959194422,0.116662428,,,
100,8.6715127,3.999774218,0.117152505,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
