data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,8.159715652,7.24441235888662E-07,2.540783184,0.071734628,6.68222325581089E-02
2,0.08759256,8.160023689,7.30226588530059E-07,,,
3,0.17516682,8.160668373,7.12870530605869E-07,,,
4,0.2627417,8.160671234,7.36011998014874E-07,,,
5,0.35030966,8.161028862,7.36011998014874E-07,,,
6,0.4378962,8.161689758,7.24441235888662E-07,,,
7,0.52548014,8.162014961,7.18655883247266E-07,,,
8,0.61306656,8.162677765,7.18655883247266E-07,,,
9,0.7006456,8.162686348,7.24441235888662E-07,,,
10,0.78822196,8.163022995,7.18655883247266E-07,,,
11,0.87578894,8.163711548,7.36011998014874E-07,,,
12,0.96337494,8.164030075,7.4179735065627E-07,,,
13,1.05096308,8.164710999,7.24441235888662E-07,,,
14,1.13853734,8.165065765,7.4179735065627E-07,,,
15,1.22612062,8.165070534,7.30226588530059E-07,,,
16,1.31369278,8.165689468,6.95514415838261E-07,,,
17,1.40126294,8.166015625,7.47582646454248E-07,,,
18,1.48885096,8.166666031,7.12870530605869E-07,,,
19,1.57643382,8.167014122,7.36011998014874E-07,,,
20,1.66402538,8.167015076,7.47582646454248E-07,,,
21,1.75160402,8.167689323,7.18655883247266E-07,,,
22,1.8391809,8.167994499,7.4179735065627E-07,,,
23,1.92675288,8.168647766,7.47582646454248E-07,,,
24,2.01431778,8.169007301,7.24441235888662E-07,,,
25,2.1018848,8.169001579,7.36011998014874E-07,,,
26,2.1894695,8.169665337,7.47582646454248E-07,,,
27,2.27705794,8.16999054,7.30226588530059E-07,,,
28,2.36463398,8.170643806,7.18655883247266E-07,,,
29,2.45220738,8.170986176,7.53367942252225E-07,,,
30,2.53978082,8.170981407,7.30226645373477E-07,,,
31,2.62734922,8.171652794,7.47582646454248E-07,,,
32,2.71491578,8.171958923,7.47582646454248E-07,,,
33,2.8024966,8.172633171,7.24441235888662E-07,,,
34,2.89008118,8.172999382,7.4179735065627E-07,,,
35,2.97765582,8.172995567,7.47582646454248E-07,,,
36,3.06522634,8.173645973,7.36011998014874E-07,,,
37,3.15279662,8.1739645,7.24441235888662E-07,,,
38,3.24038118,8.174630165,7.4179735065627E-07,,,
39,3.3279616,8.174977303,7.4179735065627E-07,,,
40,3.41553496,8.175663948,7.4179735065627E-07,,,
41,3.5031175,8.175653458,7.24441235888662E-07,,,
42,3.5906919,8.175964355,7.53367942252225E-07,,,
43,3.67826048,8.176609039,7.36011998014874E-07,,,
44,3.7658437,8.177268982,7.4179735065627E-07,,,
45,3.85342524,8.177619934,7.59153238050203E-07,,,
46,3.9410131,8.17761898,7.47582646454248E-07,,,
47,4.02858658,8.178309441,7.76509182287555E-07,,,
48,4.11616866,8.17860508,7.59153238050203E-07,,,
49,4.20373776,8.179267883,7.47582646454248E-07,,,
50,4.29132248,8.179627419,7.70723886489577E-07,,,
51,4.3789092,8.179625511,7.59153238050203E-07,,,
52,4.46649176,8.180275917,7.47582646454248E-07,,,
53,4.55407712,8.180612564,7.4179735065627E-07,,,
54,4.64164888,8.181268692,7.47582646454248E-07,,,
55,4.72921848,8.1816082,7.76509182287555E-07,,,
56,4.81678806,8.181607246,7.59153238050203E-07,,,
57,4.9043723,8.182281494,7.59153238050203E-07,,,
58,4.99195658,8.182592392,7.59153238050203E-07,,,
59,5.07953298,8.183260918,7.76509182287555E-07,,,
60,5.16711372,8.183619499,7.70723829646158E-07,,,
61,5.25468748,8.183619499,7.70723829646158E-07,,,
62,5.34225618,8.184267044,7.36011998014874E-07,,,
63,5.42982164,8.18458271,7.53367942252225E-07,,,
64,5.51740468,8.185258865,7.64938533848181E-07,,,
65,5.60498228,8.185605049,7.47582646454248E-07,,,
66,5.69255176,8.186285973,7.8807977388351E-07,,,
67,5.7801313,8.186283112,7.53367942252225E-07,,,
68,5.86770416,8.186578751,7.88079717040091E-07,,,
69,5.95526974,8.187232018,7.8807977388351E-07,,,
70,6.04285348,8.187574387,7.93865012838069E-07,,,
71,6.1304324,8.188230515,7.93865012838069E-07,,,
72,6.21801024,8.188239098,7.99650365479465E-07,,,
73,6.30558716,8.188567162,8.05435661277443E-07,,,
74,6.3931659,8.189218521,7.99650365479465E-07,,,
75,6.48074216,8.189552307,7.93865012838069E-07,,,
76,6.5683234,8.190232277,8.28576844469353E-07,,,
77,6.65590444,8.190237999,8.17006252873398E-07,,,
78,6.74348354,8.190544128,8.51718027661263E-07,,,
79,6.83106624,8.191222191,8.86429802449129E-07,,,
80,6.91863502,8.19158268,8.86429859292548E-07,,,
81,7.00622962,8.192212105,9.90565126812726E-07,,,
82,7.09381672,8.192218781,9.61638761509676E-07,,,
83,7.18139732,8.192552567,1.03106242477224E-06,,,
84,7.26899968,8.193196297,1.18726552500448E-06,,,
85,7.35659006,8.19354248,1.24511825561058E-06,,,
86,7.44418008,8.19423008,1.441818881176E-06,,,
87,7.53176394,8.194232941,1.55173961502442E-06,,,
88,7.6193419,8.194536209,1.65587493938801E-06,,,
89,7.7069284,8.195201874,2.15341083276144E-06,,,
90,7.79452798,8.19556427,2.77243748314504E-06,,,
91,7.88211408,8.196229935,3.4088216125383E-06,,,
92,7.96970366,8.196555138,4.03363492296194E-06,,,
93,8.0572842,8.196556091,4.5080282689014E-06,,,
94,8.14486662,8.197223663,7.02463512425311E-06,,,
95,8.23244504,8.197511673,8.78336231835419E-06,,,
96,8.32003304,8.198194504,0.000186803,,,
97,8.40761506,8.198498726,0.000244962,,,
98,8.49521714,8.198498726,0.000267664,,,
99,8.58280522,8.199178696,0.000361091,,,
100,8.67038196,8.199542999,0.000411949,,,
