data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,8.299514771,7.36011998014874E-07,2.541033097,0.06289345,0.050513901
2,0.0876033,8.302531242,7.64938533848181E-07,,,
3,0.17519986,8.305495262,7.59153238050203E-07,,,
4,0.26278388,8.308529854,7.53367942252225E-07,,,
5,0.35036454,8.311487198,7.4179735065627E-07,,,
6,0.43794192,8.31447506,7.30226645373477E-07,,,
7,0.52551796,8.317440033,7.47582646454248E-07,,,
8,0.6131097,8.320459366,7.36011998014874E-07,,,
9,0.70069806,8.323443413,7.36011998014874E-07,,,
10,0.78828272,8.327124596,7.64938533848181E-07,,,
11,0.8758562,8.33010006,7.4179735065627E-07,,,
12,0.96344522,8.333109856,7.76509125444136E-07,,,
13,1.05103248,8.336112022,7.82294421242113E-07,,,
14,1.13861392,8.339110374,7.70723829646158E-07,,,
15,1.22620184,8.342065811,7.88079660196672E-07,,,
16,1.3137764,8.345085144,7.53367942252225E-07,,,
17,1.40134924,8.348041534,7.59153238050203E-07,,,
18,1.4889359,8.351059914,7.36011998014874E-07,,,
19,1.5765225,8.354021072,7.82294364398695E-07,,,
20,1.66410638,8.357014656,7.76509125444136E-07,,,
21,1.75168686,8.359976768,7.82294364398695E-07,,,
22,1.83927182,8.362984657,7.82294364398695E-07,,,
23,1.92684544,8.365963936,7.9386495599465E-07,,,
24,2.01443558,8.368954659,7.76509125444136E-07,,,
25,2.1020225,8.371955872,8.11220843388583E-07,,,
26,2.18959944,8.375616074,7.82294364398695E-07,,,
27,2.27718138,8.378582954,7.93865012838069E-07,,,
28,2.36477194,8.381590843,8.22791434984538E-07,,,
29,2.45236198,8.384537697,7.9386495599465E-07,,,
30,2.53994692,8.387562752,8.34361969737074E-07,,,
31,2.62752736,8.390524864,8.22791434984538E-07,,,
32,2.71510218,8.393551826,8.11220843388583E-07,,,
33,2.80267602,8.396515846,8.22791434984538E-07,,,
34,2.89027552,8.399499893,8.40147265535052E-07,,,
35,2.97786298,8.402476311,8.51717913974426E-07,,,
36,3.06544766,8.405486107,8.51717913974426E-07,,,
37,3.1530273,8.408460617,8.69073687681521E-07,,,
38,3.24061152,8.411463737,8.51717913974426E-07,,,
39,3.32819118,8.414466858,8.74859097166336E-07,,,
40,3.41577904,8.4174757,8.98000280358247E-07,,,
41,3.50335998,8.420507431,8.98000223514828E-07,,,
42,3.5909394,8.423477173,9.21141406706738E-07,,,
43,3.6785105,8.427095413,9.15355940378504E-07,,,
44,3.76609708,8.430127144,9.55853124651185E-07,,,
45,3.8536787,8.433094025,9.78994421529933E-07,,,
46,3.94126356,8.436126709,9.96350308923866E-07,,,
47,4.02883928,8.439083099,1.02527667422692E-06,,,
48,4.11643274,8.442073822,1.08891492800467E-06,,,
49,4.2040204,8.445035934,1.16990895548952E-06,,,
50,4.29162356,8.448045731,1.37239430841873E-06,,,
51,4.37922174,8.451037407,1.91621188605495E-06,,,
52,4.46680968,8.4540205,3.25839869219635E-06,,,
53,4.55440242,8.457026482,7.29074827177101E-06,,,
54,4.6419758,8.460036278,0.000347269,,,
55,4.72956892,8.462996483,0.000849207,,,
56,4.81717218,8.465963364,0.001412671,,,
57,4.9047748,8.468930244,0.001997685,,,
58,4.99237334,8.471946716,0.002612621,,,
59,5.07995884,8.475577354,0.003487825,,,
60,5.1675566,8.478598595,0.004232842,,,
61,5.25514782,8.481562614,0.005000272,,,
62,5.34273054,8.48456192,0.005815316,,,
63,5.4303203,8.487520218,0.006622404,,,
64,5.51790076,8.490533829,0.007441519,,,
65,5.60548932,8.493518829,0.008237171,,,
66,5.69308522,8.496500969,0.009024261,,,
67,5.78067232,8.499508858,0.009797582,,,
68,5.86825756,8.502531052,0.010566474,,,
69,5.95584452,8.505503654,0.011304666,,,
70,6.04343112,8.50846386,0.012036489,,,
71,6.13101612,8.51143837,0.012760261,,,
72,6.21860446,8.514454842,0.013495687,,,
73,6.30619802,8.517403603,0.014198841,,,
74,6.39379264,8.520411491,0.014913849,,,
75,6.48138472,8.52338028,0.015610329,,,
76,6.56898662,8.527036667,0.016572727,,,
77,6.65658996,8.529994011,0.017218078,,,
78,6.74417578,8.533006668,0.017894372,,,
79,6.83176444,8.535980225,0.018551577,,,
80,6.91935162,8.538969994,0.019208077,,,
81,7.00693214,8.541973114,0.019863756,,,
82,7.0945218,8.54499054,0.020523159,,,
83,7.18210818,8.547942162,0.021146914,,,
84,7.26970052,8.550912857,0.021768285,,,
85,7.35728716,8.553883553,0.02239256,,,
86,7.44486708,8.556910515,0.023026053,,,
87,7.53245992,8.559856415,0.023624834,,,
88,7.6200442,8.562870026,0.024242649,,,
89,7.70763648,8.565849304,0.024844743,,,
90,7.79522316,8.568880081,0.025462193,,,
91,7.88280744,8.571810722,0.026031252,,,
92,7.97039694,8.575478554,0.026907295,,,
93,8.05798776,8.578456879,0.027458994,,,
94,8.1455883,8.581450462,0.028026618,,,
95,8.23317218,8.584450722,0.028593361,,,
96,8.32075222,8.587459564,0.029166391,,,
97,8.40836656,8.590491295,0.02974149,,,
98,8.49595664,8.593453407,0.030281832,,,
99,8.58355264,8.596439362,0.030824633,,,
100,8.67114036,8.59944725,0.031383179,,,
