data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,7.69956398,6.37660491520364E-07,2.540669191,0.076483347,0.04011893
2,0.08757104,7.70454073,6.72372777899E-07,,,
3,0.17513376,7.709517002,6.66587368414184E-07,,,
4,0.2626952,7.714528084,6.72372721055581E-07,,,
5,0.35025824,7.719483852,6.72372721055581E-07,,,
6,0.437837,7.725141525,6.60802015772788E-07,,,
7,0.52539768,7.730114937,6.89728892666608E-07,,,
8,0.61296406,7.735116005,6.37660491520364E-07,,,
9,0.70054116,7.740173817,6.66587425257603E-07,,,
10,0.7881211,7.745162964,6.66587425257603E-07,,,
11,0.8756791,7.750124931,6.4344590100518E-07,,,
12,0.96323976,7.755103111,6.72372834742418E-07,,,
13,1.05080108,7.760082722,6.37660491520364E-07,,,
14,1.13836314,7.76505518,6.66587368414184E-07,,,
15,1.2259349,7.7700243,6.78158130540396E-07,,,
16,1.31349564,7.775688648,6.60801958929369E-07,,,
17,1.40106256,7.780668736,6.66587368414184E-07,,,
18,1.48862382,7.785625935,6.55016606287973E-07,,,
19,1.5761883,7.790610313,6.95514302151423E-07,,,
20,1.66375254,7.795615196,6.66587425257603E-07,,,
21,1.75131956,7.800576687,6.66587425257603E-07,,,
22,1.83888666,7.805565357,6.78158130540396E-07,,,
23,1.92646324,7.810532093,6.66587368414184E-07,,,
24,2.01404012,7.815547466,6.78158187383815E-07,,,
25,2.10160986,7.820508957,6.55016663131391E-07,,,
26,2.18917396,7.826184273,6.72372777899E-07,,,
27,2.27673924,7.831123829,6.72372777899E-07,,,
28,2.36430674,7.836123466,6.83943540025211E-07,,,
29,2.4518768,7.84109354,6.72372777899E-07,,,
30,2.53944392,7.846114159,6.60802015772788E-07,,,
31,2.62702524,7.851052284,6.72372777899E-07,,,
32,2.71459704,7.856060028,6.95514302151423E-07,,,
33,2.80217246,7.86101675,6.72372777899E-07,,,
34,2.8897459,7.866039276,6.66587425257603E-07,,,
35,2.97732318,7.870961189,6.78158187383815E-07,,,
36,3.06489586,7.87663126,6.60802015772788E-07,,,
37,3.15247072,7.881574154,6.60802015772788E-07,,,
38,3.2400525,7.88658905,6.83943540025211E-07,,,
39,3.3276323,7.891540527,6.78158187383815E-07,,,
40,3.41520822,7.896560192,6.78158187383815E-07,,,
41,3.5027864,7.901533604,6.89728892666608E-07,,,
42,3.590366,7.906529903,6.72372777899E-07,,,
43,3.6779423,7.911557198,6.66587425257603E-07,,,
44,3.76551878,7.916545868,6.66587368414184E-07,,,
45,3.85308648,7.921503067,6.78158187383815E-07,,,
46,3.94066464,7.927169323,6.66587425257603E-07,,,
47,4.02824008,7.93212986,6.89728949510027E-07,,,
48,4.1158187,7.93710947,6.66587425257603E-07,,,
49,4.20339604,7.942100525,6.83943540025211E-07,,,
50,4.29097324,7.947110176,6.49231253646576E-07,,,
51,4.37855156,7.952102661,6.72372777899E-07,,,
52,4.46612064,7.957039833,6.66587425257603E-07,,,
53,4.55368078,7.962020397,6.66587425257603E-07,,,
54,4.64124142,7.967015743,6.78158130540396E-07,,,
55,4.72881166,7.971987247,6.78158187383815E-07,,,
56,4.8163713,7.977648735,6.89728892666608E-07,,,
57,4.9039344,7.982604027,6.95514302151423E-07,,,
58,4.99149582,7.987595081,6.78158187383815E-07,,,
59,5.07906552,7.992598534,6.89728892666608E-07,,,
60,5.16662636,7.997602463,6.89728892666608E-07,,,
61,5.254192,8.002540588,6.95514302151423E-07,,,
62,5.34175898,8.007536888,7.12870416919031E-07,,,
63,5.42932712,8.012505531,7.0129965479282E-07,,,
64,5.5168951,8.017499924,6.72372777899E-07,,,
65,5.60446632,8.022443771,6.89728949510027E-07,,,
66,5.6920396,8.028125763,7.07085064277635E-07,,,
67,5.77961102,8.033093452,7.01299711636238E-07,,,
68,5.86717916,8.038086891,7.1287047376245E-07,,,
69,5.95474888,8.04304409,7.07085064277635E-07,,,
70,6.04231748,8.048059464,7.0129965479282E-07,,,
71,6.1298891,8.053012848,7.0129965479282E-07,,,
72,6.21746256,8.058026314,7.4179735065627E-07,,,
73,6.30504594,8.062959671,7.18655826403847E-07,,,
74,6.39262318,8.067974091,7.24441179045243E-07,,,
75,6.48020078,8.072930336,7.93865183368325E-07,,,
76,6.5677773,8.078624725,1.80629513124586E-06,,,
77,6.65534832,8.083613396,0.000264182,,,
78,6.74292956,8.08860302,0.000623218,,,
79,6.8305219,8.093567848,0.001218168,,,
80,6.91810534,8.098585129,0.002177396,,,
81,7.00569774,8.103521347,0.003350929,,,
82,7.0932821,8.108506203,0.004594274,,,
83,7.18087366,8.1134758,0.005938587,,,
84,7.26846178,8.118486404,0.007408045,,,
85,7.35607962,8.123443604,0.008899339,,,
86,7.4436917,8.129090309,0.010686592,,,
87,7.53130072,8.134051323,0.012219926,,,
88,7.61889836,8.139038086,0.013768106,,,
89,7.70650688,8.144025803,0.015304787,,,
90,7.7941327,8.149012566,0.016834239,,,
91,7.88173298,8.153987885,0.018343132,,,
92,7.9693167,8.158967018,0.019835785,,,
93,8.05691164,8.163957596,0.021318985,,,
94,8.1445118,8.168934822,0.022780452,,,
95,8.23211306,8.173892975,0.024216231,,,
96,8.31969398,8.179550171,0.025942231,,,
97,8.40727626,8.184511185,0.027322564,,,
98,8.49488008,8.189483643,0.028698666,,,
99,8.58247296,8.194446564,0.030060498,,,
100,8.67007658,8.1994524,0.03142079,,,
