data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,7.999583721,6.7237226630823E-07,2.541563338,0.063041999,0.038609253
2,0.0876181,8.009545326,6.60801447338599E-07,,,
3,0.1752338,8.019486427,6.83943142121279E-07,,,
4,0.26283934,8.030117989,6.78157675793045E-07,,,
5,0.35045626,8.040093422,6.9551396109091E-07,,,
6,0.4380688,8.050018311,6.83943142121279E-07,,,
7,0.52568288,8.059995651,6.72372323151649E-07,,,
8,0.61330514,8.069963455,6.72372323151649E-07,,,
9,0.70091166,8.080676079,6.9551396109091E-07,,,
10,0.7885211,8.090651512,7.01299427419144E-07,,,
11,0.87613334,8.100605011,6.9551396109091E-07,,,
12,0.96374752,8.11054039,6.89728551606095E-07,,,
13,1.05137084,8.120511055,6.7237226630823E-07,,,
14,1.13899056,8.131112099,7.0708483690396E-07,,,
15,1.22660522,8.141109467,7.0708483690396E-07,,,
16,1.31420998,8.151028633,6.83943142121279E-07,,,
17,1.40181076,8.161019325,7.01299370575725E-07,,,
18,1.48941122,8.170986176,6.78157732636464E-07,,,
19,1.57700628,8.181611061,7.01299427419144E-07,,,
20,1.66461224,8.191591263,7.01299370575725E-07,,,
21,1.75222046,8.201532364,6.83943142121279E-07,,,
22,1.83982602,8.211484909,7.12870246388775E-07,,,
23,1.92743514,8.221430779,7.12870246388775E-07,,,
24,2.01504008,8.23206234,7.36011941171455E-07,,,
25,2.10264496,8.242053986,6.9551396109091E-07,,,
26,2.19025724,8.252065659,6.89728551606095E-07,,,
27,2.27786438,8.262025833,7.1865565587359E-07,,,
28,2.3654748,8.271980286,7.01299427419144E-07,,,
29,2.45308238,8.282608032,7.01299427419144E-07,,,
30,2.54068682,8.292609215,7.01299427419144E-07,,,
31,2.62830656,8.302536011,7.12870246388775E-07,,,
32,2.71591942,8.312504768,6.89728551606095E-07,,,
33,2.80353626,8.32245636,7.3022653168664E-07,,,
34,2.89114662,8.333116531,7.1865565587359E-07,,,
35,2.97875772,8.343097687,7.12870246388775E-07,,,
36,3.06638076,8.353027344,7.1865565587359E-07,,,
37,3.1539776,8.36299324,7.36011941171455E-07,,,
38,3.24157664,8.372956276,7.3022653168664E-07,,,
39,3.32917408,8.383556366,7.36011941171455E-07,,,
40,3.4167721,8.393554688,7.36011941171455E-07,,,
41,3.50438264,8.403494835,7.36011941171455E-07,,,
42,3.5919877,8.413469315,7.24441065358405E-07,,,
43,3.67958878,8.423480988,7.53368055939063E-07,,,
44,3.76718516,8.434101105,7.53368055939063E-07,,,
45,3.8547843,8.444074631,7.47582703297667E-07,,,
46,3.94239296,8.454030037,7.47582703297667E-07,,,
47,4.02999476,8.46400547,7.47582703297667E-07,,,
48,4.11760154,8.473949432,7.47582703297667E-07,,,
49,4.20520524,8.484577179,7.53368055939063E-07,,,
50,4.29281004,8.494585037,7.70724113863253E-07,,,
51,4.3804128,8.504561424,7.93865524428838E-07,,,
52,4.46802184,8.514507294,8.0543628655505E-07,,,
53,4.55562818,8.525128365,7.99650933913654E-07,,,
54,4.6432377,8.535058022,8.11221639196447E-07,,,
55,4.73084688,8.545062065,7.88080171787442E-07,,,
56,4.81846224,8.554968834,8.11221639196447E-07,,,
57,4.90606454,8.564948082,8.2279234447924E-07,,,
58,4.99367886,8.575558662,7.99650877070235E-07,,,
59,5.08130242,8.585536003,8.45933755044825E-07,,,
60,5.1689129,8.595584869,8.69075165610411E-07,,,
61,5.25650618,8.605522156,8.92216633019416E-07,,,
62,5.34410102,8.615480423,8.98001985660812E-07,,,
63,5.43171514,8.626114845,8.98001871973975E-07,,,
64,5.51931766,8.636054039,9.21143396226398E-07,,,
65,5.60691252,8.646039963,9.50070216276799E-07,,,
66,5.69451214,8.65598011,9.50070102589962E-07,,,
67,5.78211134,8.66597271,1.01370903848874E-06,,,
68,5.869721,8.676692963,1.05999185961991E-06,,,
69,5.9573204,8.686624527,1.1120600902359E-06,,,
70,6.04491184,8.696621895,1.15255761556909E-06,,,
71,6.13250496,8.706554413,1.26247937259905E-06,,,
72,6.2200971,8.716537476,1.38975678964925E-06,,,
73,6.30768448,8.727131844,1.69059512700187E-06,,,
74,6.39529314,8.737088203,2.41954967350466E-06,,,
75,6.482904,8.747050285,6.40565804133075E-06,,,
76,6.570504,8.757019043,0.001157836,,,
77,6.65810896,8.767041206,0.003599543,,,
78,6.74570268,8.777664185,0.006997712,,,
79,6.83331394,8.787608147,0.010245197,,,
80,6.92091962,8.79759407,0.013480991,,,
81,7.00852132,8.807512283,0.016615639,,,
82,7.09612842,8.817481041,0.019707682,,,
83,7.18374204,8.828101158,0.023014316,,,
84,7.27135472,8.838054657,0.025953377,,,
85,7.3589573,8.848051071,0.028859384,,,
86,7.44657662,8.857964516,0.031673893,,,
87,7.53417006,8.867931366,0.034455705,,,
88,7.62177704,8.8785429,0.037453681,,,
89,7.70938166,8.888497353,0.040093783,,,
90,7.79698078,8.898461342,0.042706322,,,
91,7.88457006,8.908415794,0.045266237,,,
92,7.97216842,8.91836071,0.047782175,,,
93,8.05975848,8.929011345,0.050560605,,,
94,8.14736492,8.938980103,0.052974287,,,
95,8.23496168,8.948964119,0.055370793,,,
96,8.32256062,8.95887661,0.05770373,,,
97,8.41016378,8.968875885,0.060040407,,,
98,8.49776742,8.979464531,0.062605351,,,
99,8.58537072,8.989420891,0.064829081,,,
100,8.6729754,8.999402046,0.067054652,,,
